,plot_id,Station_id,Treatment_2,sp_id,Elevation,log_init_height,log_LA,log_SMF,log_SRL,log_RGR_plus_1,log_ConNeigh,log_HetNeigh,Treatment_factor
168,6,6,0,27,300,0.421615021,-0.275742236,-1.486799994,-0.405419444,-0.904205761,-0.296406537,1.84282707,Control
169,6,6,0,27,300,0.069704724,-0.506204882,-1.397083121,-0.528363822,-0.807678906,-0.296406537,1.84282707,Control
170,6,6,0,28,300,0.228724978,-2.176676769,0.270431084,-0.074300578,-0.594045082,-0.761289746,2.045845439,Control
171,6,6,0,32,300,2.894118763,1.933511709,-0.193350207,1.996470721,-0.169128766,-0.761289746,2.045845439,Control
172,6,6,0,33,300,0.466870843,0.275658493,0.63895449,-0.229886101,-0.63857231,-0.141445467,1.775154281,Control
173,6,6,0,33,300,0.926756288,0.24691275,-0.26273854,-0.060515739,-0.849036325,-0.141445467,1.775154281,Control
174,6,6,0,33,300,0.539936667,0.113804446,-0.154898318,0.325779743,-0.835253856,-0.141445467,1.775154281,Control
175,6,6,0,33,300,0.142060993,0.31542595,-1.313475445,0.125367513,-0.762958163,-0.141445467,1.775154281,Control
176,6,6,0,33,300,0.554212137,-0.180239214,0.551780011,-0.996787626,-0.817521898,-0.141445467,1.775154281,Control
177,6,6,0,34,300,0.984082033,-0.401937577,0.460755983,-0.305983919,-1.102136781,0.633359882,1.436790333,Control
178,6,6,0,34,300,0.743368366,0.895274564,-0.96047159,-0.044782216,-0.37936053,0.633359882,1.436790333,Control
179,6,6,0,34,300,-0.364535128,-0.79493946,-0.540070358,0.552758882,-0.528186088,0.633359882,1.436790333,Control
180,6,6,0,34,300,1.433352408,0.906627143,0.149383442,0.309201611,-0.947003836,0.633359882,1.436790333,Control
181,6,6,0,34,300,1.156500006,0.595416025,-0.636353185,0.608834725,-0.38930821,0.633359882,1.436790333,Control
182,6,6,0,34,300,0.831199972,0.205282604,-0.597263634,0.634020433,-0.669321175,0.633359882,1.436790333,Control
183,6,6,0,34,300,0.568379048,-0.301431782,-0.188309877,0.187521028,-1.115764215,0.633359882,1.436790333,Control
184,6,6,0,34,300,0.390821928,-0.084073917,-0.514537981,0.603213178,-0.652418426,0.633359882,1.436790333,Control
185,6,6,0,34,300,0.691254766,-0.414100863,0.307113729,0.269366512,-0.811844244,0.633359882,1.436790333,Control
186,6,6,0,34,300,0.554212137,0.550666262,-0.084308649,-0.524569775,-0.088285611,0.633359882,1.436790333,Control
187,6,6,0,43,300,-0.780238113,0.0816743,0.493423648,1.310164369,1.341008536,-0.761289746,2.045845439,Control
188,6,6,0,47,300,1.477188306,0.640224393,0.745273113,0.376022128,-0.480419686,0.168476673,1.639808702,Control
189,6,6,0,47,300,1.969286768,0.992123144,-0.480012901,-0.975855687,-0.715278173,0.168476673,1.639808702,Control
190,6,6,0,47,300,0.390821928,-0.564944204,-0.200104076,-1.141727683,-0.950444977,0.168476673,1.639808702,Control
191,6,6,0,47,300,0.124233682,-0.830853296,0.416781272,-2.050475536,-0.799382229,0.168476673,1.639808702,Control
192,6,6,0,47,300,0.949898694,0.328754939,-0.161955706,-0.959333781,-0.541655182,0.168476673,1.639808702,Control
193,6,6,0,47,300,0.949898694,0.193590424,0.153061767,-1.883070521,-0.724828361,0.168476673,1.639808702,Control
194,6,6,0,47,300,-0.124527253,-1.221790295,0.377347122,-1.05412657,-1.100931106,0.168476673,1.639808702,Control
195,6,6,0,53,300,2.041072661,2.388320724,0.99905109,-0.085469323,0.693950895,-0.761289746,2.045845439,Control
196,6,6,0,57,300,2.218047703,1.208664968,1.2565653,-0.564558028,-0.378591461,0.323437742,1.572135912,Control
197,6,6,0,57,300,2.170882153,-0.561226358,1.256468322,-0.968222975,-1.0024626,0.323437742,1.572135912,Control
198,6,6,0,57,300,1.852600475,0.525684438,1.391011736,-0.613207579,-0.538173465,0.323437742,1.572135912,Control
199,6,6,0,57,300,1.720525833,-0.558790291,1.3809469,-0.381083817,-0.82729253,0.323437742,1.572135912,Control
200,6,6,0,57,300,2.097816329,0.940955935,1.23314735,-0.419793225,-0.323337283,0.323437742,1.572135912,Control
201,6,6,0,57,300,2.122491388,0.441838423,1.174493202,0.35308837,-0.760090817,0.323437742,1.572135912,Control
202,6,6,0,57,300,1.545248468,0.524896581,0.716309056,-0.601097386,-0.288210176,0.323437742,1.572135912,Control
203,6,6,0,57,300,2.034659781,0.168323522,1.092256019,0.136084086,-0.677497801,0.323437742,1.572135912,Control
204,6,6,0,62,300,0.677995352,0.494051988,-0.26599375,0.581205998,-0.809966055,-0.761289746,2.045845439,Control
205,7,7,0,1,300,0.867610377,-0.515799149,0.220387939,0.186771409,-0.662612022,-0.761289746,1.436790333,Control
206,7,7,0,4,300,1.880720853,1.188254786,0.420413755,0.478186637,-0.2029403,0.013515603,1.098426385,Control
207,7,7,0,4,300,2.308940838,1.39094841,0.70285535,0.759273331,-0.334272514,0.013515603,1.098426385,Control
208,7,7,0,4,300,1.093698338,0.352470499,0.393701493,-0.596355019,-0.466383758,0.013515603,1.098426385,Control
209,7,7,0,4,300,2.416655213,1.643796471,0.759892604,0.250484891,-0.268290867,0.013515603,1.098426385,Control
210,7,7,0,4,300,1.246902958,-0.297775814,0.417983178,-0.718794749,-1.063492209,0.013515603,1.098426385,Control
211,7,7,0,4,300,-0.751354748,1.293495534,0.605486552,0.506781283,0.304242267,0.013515603,1.098426385,Control
212,7,7,0,11,300,-0.06410229,-1.382865688,0.386973535,-1.55450218,-0.87968733,-0.761289746,1.436790333,Control
213,7,7,0,15,300,-0.751354748,-0.45785723,-1.289472547,0.821083728,-0.310009668,-0.761289746,1.436790333,Control
214,7,7,0,19,300,1.039696304,0.852164364,0.603493941,1.540382255,-0.643269404,-0.606328677,1.369117543,Control
215,7,7,0,19,300,1.342459273,0.752846037,-0.175906117,-0.127547177,-0.756090031,-0.606328677,1.369117543,Control
216,7,7,0,23,300,-0.06410229,-0.680150991,0.065146173,0.279986339,-0.454972676,-0.761289746,1.436790333,Control
217,7,7,0,27,300,-0.251595112,-0.941492765,-0.42894147,-1.278845259,-0.955662248,0.168476673,1.030753595,Control
218,7,7,0,27,300,0.032444688,-0.401867886,-1.028522043,-1.60153442,-0.845563781,0.168476673,1.030753595,Control
219,7,7,0,27,300,0.013531432,-0.439873888,-0.601905063,-0.614588047,-0.816861497,0.168476673,1.030753595,Control
220,7,7,0,27,300,0.228724978,-0.13199906,-0.642335042,-1.107735992,-0.740242153,0.168476673,1.030753595,Control
221,7,7,0,27,300,0.677995352,-0.227628055,-0.67487083,-0.138166159,-0.9447161,0.168476673,1.030753595,Control
222,7,7,0,27,300,0.051167858,-0.238343014,-0.982558653,-0.005720313,0.097692863,0.168476673,1.030753595,Control
